restaurant_name,city,locality,cuisines,average_cost_for_two,has_table_booking,has_online_delivery,price_range,aggregate_rating,rating_text,votes
Midnight Hunger Hub,New Delhi,Janakpuri,"North Indian, Fast Food, Italian, Asian",800,No,Yes,2,4.5,Excellent,50
Bemisaal Reloaded,New Delhi,Janakpuri,"North Indian, Chinese",1250,No,Yes,3,3.8,Good,128
Bon Appí©tit,New Delhi,Janakpuri,Fast Food,350,No,Yes,1,3.8,Good,212
Burger Point,New Delhi,Janakpuri,"Burger, Fast Food",300,No,No,1,3.6,Good,164
Cakes 'n' Crumbs,New Delhi,Janakpuri,Bakery,400,No,Yes,1,3.6,Good,70
China Fort,New Delhi,Janakpuri,"Chinese, North Indian, Thai",700,No,Yes,2,3.5,Good,74
Hot Cherries,New Delhi,Janakpuri,Bakery,400,No,No,1,3.6,Good,116
Pasta Xpress,New Delhi,Janakpuri,"Italian, Fast Food",700,No,Yes,2,3.6,Good,56
Tandoor Bar-Be-Que,New Delhi,Janakpuri,"North Indian, Mughlai",600,No,Yes,2,3.5,Good,131
TBK Kulcha's,New Delhi,Janakpuri,"Fast Food, Street Food",300,No,Yes,1,3.6,Good,155
The Pindi,New Delhi,Janakpuri,"North Indian, Chinese, Mughlai",1300,Yes,Yes,3,3.5,Good,100
The Tangy Tomatoes,New Delhi,Janakpuri,"Italian, Chinese, Fast Food, North Indian",400,No,Yes,1,3.7,Good,32
Thela,New Delhi,Janakpuri,"North Indian, Fast Food, Chinese",500,No,Yes,2,3.5,Good,87
Food Scouts,New Delhi,Janakpuri,"North Indian, Chinese, Continental",700,No,Yes,2,4.3,Very Good,22
Bhola Dhaba,New Delhi,Jangpura,North Indian,300,No,Yes,1,2.8,Average,30
Cake Me Up,New Delhi,Jangpura,Bakery,400,No,No,1,3.1,Average,7
Chawla Snacks,New Delhi,Jangpura,North Indian,250,No,No,1,2.9,Average,4
Chef Joint,New Delhi,Jangpura,"North Indian, Chinese",400,No,Yes,1,3.2,Average,45
China Hut,New Delhi,Jangpura,Chinese,400,No,Yes,1,3.0,Average,16
Chinese Hut,New Delhi,Jangpura,"Chinese, Fast Food",450,No,Yes,1,2.8,Average,5
Curries & Kebabs,New Delhi,Jangpura,"North Indian, Mughlai, Chinese",500,No,Yes,2,2.7,Average,7
Kabul Restaurant,New Delhi,Jangpura,"Mughlai, Afghani",450,No,No,1,2.8,Average,25
Kadimi Dukan,New Delhi,Jangpura,"Street Food, Mithai",200,No,No,1,3.2,Average,10
Kadimi Sweets,New Delhi,Jangpura,"Mithai, Street Food",200,No,No,1,3.1,Average,42
Modi Pastry Corner,New Delhi,Jangpura,"Bakery, Fast Food",100,No,No,1,2.6,Average,17
New Evergreen Hotel,New Delhi,Jangpura,"North Indian, Mughlai",450,No,No,1,2.9,Average,7
Nikku Hotel,New Delhi,Jangpura,"North Indian, Chinese, Fast Food",500,No,Yes,2,2.6,Average,9
Om Hotel,New Delhi,Jangpura,"North Indian, Mughlai, South Indian",600,No,No,2,3.3,Average,140
Pakeeza Burger,New Delhi,Jangpura,"North Indian, Afghani",600,No,No,2,2.6,Average,15
Paljees Fresh Baked,New Delhi,Jangpura,"Bakery, Desserts, Fast Food",200,No,No,1,3.1,Average,16
Pinka's Rasoi,New Delhi,Jangpura,North Indian,500,No,Yes,2,3.1,Average,21
Sandwich & Sons,New Delhi,Jangpura,Fast Food,500,No,Yes,2,3.2,Average,24
Simple Restaurant,New Delhi,Jangpura,"North Indian, Chinese",500,No,No,2,3.0,Average,15
Tempting Bar-B-Que,New Delhi,Jangpura,"North Indian, Chinese",650,No,Yes,2,3.3,Average,29
The Biryani Hut,New Delhi,Jangpura,Biryani,400,No,No,1,2.9,Average,5
Beliram Degchiwala,New Delhi,Jangpura,"North Indian, Mughlai",900,No,Yes,2,3.5,Good,107
Instapizza,New Delhi,Jangpura,"Pizza, Fast Food",900,No,Yes,2,3.9,Good,55
Janta Bakery,New Delhi,Jangpura,"Bakery, Fast Food",150,No,No,1,3.6,Good,32
Pal Refreshment Corner,New Delhi,Jangpura,"North Indian, Chinese",500,No,Yes,2,3.5,Good,32
Transform Nutrition,New Delhi,Jangpura,"Healthy Food, Continental",400,No,No,1,3.5,Good,19
Novelty Dairy & Stores,New Delhi,Jangpura,Fast Food,200,No,No,1,4.1,Very Good,352
Caara Cafe,New Delhi,Janpath,"Cafe, European",600,No,No,2,3.3,Average,59
Gulnar - Hotel Janpath,New Delhi,Janpath,"North Indian, Chinese",2000,Yes,No,4,3.2,Average,40
Kalpana Restaurant,New Delhi,Janpath,"North Indian, Chinese, Mughlai",500,No,Yes,2,3.2,Average,40
Meenas,New Delhi,Janpath,"North Indian, Chinese",550,No,No,2,2.9,Average,7
Rajeev Restaurant,New Delhi,Janpath,North Indian,200,No,No,1,3.0,Average,5
RSVP,New Delhi,Janpath,Finger Food,3000,No,No,4,2.7,Average,16
Samridhi,New Delhi,Janpath,"Kerala, South Indian",350,No,No,1,3.2,Average,85
Shan E Dilli,New Delhi,Janpath,North Indian,400,No,No,1,3.0,Average,7
Svasti Cafe,New Delhi,Janpath,"North Indian, Fast Food, Bihari",800,Yes,No,2,3.1,Average,6
The Zest,New Delhi,Janpath,"North Indian, Continental",1100,Yes,No,3,3.2,Average,11
Masala Library,New Delhi,Janpath,Modern Indian,5000,No,No,4,4.9,Excellent,408
Bhogal Chole Bhature Wala,New Delhi,Janpath,Street Food,150,No,No,1,3.8,Good,47
Bunta Bar,New Delhi,Janpath,"Modern Indian, North Indian",1200,Yes,No,3,3.9,Good,450
Cottage Cafí© by Smoothie factory,New Delhi,Janpath,"Cafe, Desserts, Healthy Food, Juices",650,No,Yes,2,3.7,Good,223
Depaul's,New Delhi,Janpath,Fast Food,200,No,No,1,3.7,Good,475
Fresc Co,New Delhi,Janpath,"Italian, Mediterranean",1900,Yes,Yes,3,3.8,Good,1347
Informal,New Delhi,Janpath,"North Indian, Spanish, Mediterranean",1200,Yes,No,3,3.9,Good,555
Lutyens Cocktail House,New Delhi,Janpath,"North Indian, Lebanese, European, Mexican",2100,Yes,No,4,3.9,Good,299
Office Office,New Delhi,Janpath,"North Indian, Continental",1200,No,No,3,3.9,Good,291
Pappu Chat Bhandar,New Delhi,Janpath,Street Food,150,No,No,1,3.5,Good,19
The Masala Trail,New Delhi,Janpath,"North Indian, South Indian, Street Food",800,Yes,Yes,2,3.9,Good,303
52 Janpath,New Delhi,Janpath,"American, Italian, North Indian, European, Thai",1550,Yes,No,3,4.2,Very Good,361
Cafe Southall,New Delhi,Janpath,"North Indian, Italian, Continental, Asian",1350,Yes,No,3,4.2,Very Good,162
Tourist Janpath,New Delhi,Janpath,"North Indian, American, Chinese",2000,Yes,No,4,4.1,Very Good,501
Cafe Punjabi,New Delhi,Jasola,North Indian,300,No,No,1,3.3,Average,33
Chai Garam,New Delhi,Jasola,"Beverages, Fast Food",300,No,No,1,2.9,Average,6
Chai Shots,New Delhi,Jasola,"Beverages, Fast Food",200,No,No,1,3.0,Average,15
Deli Belly,New Delhi,Jasola,"North Indian, Italian, Continental",1000,Yes,No,3,2.6,Average,49
Ego,New Delhi,Jasola,"Continental, Italian",800,Yes,No,2,3.3,Average,14
Jack Po!tato's,New Delhi,Jasola,Fast Food,150,No,No,1,3.3,Average,15
Riviera,New Delhi,Jasola,"Continental, North Indian, Chinese, Mughlai, Asian",1000,Yes,No,3,3.2,Average,8
ANF Kitchen Express,New Delhi,Jasola,"North Indian, Fast Food",450,No,No,1,3.5,Good,49
Mumu Dahlin,New Delhi,Jasola,"Continental, North Indian, Chinese, Cafe",1000,Yes,No,3,3.8,Good,92
Startup Cafe,New Delhi,Jasola,Cafe,500,No,Yes,2,3.7,Good,78
Starvin' Marvin,New Delhi,Jasola,"Italian, Mexican, Lebanese, Continental",600,No,Yes,2,3.8,Good,170
Wok On Wheels,New Delhi,Jasola,Chinese,550,No,Yes,2,3.8,Good,80
Paatra - Jaypee Siddharth,New Delhi,"Jaypee Siddharth, Rajendra Place",North Indian,3500,Yes,No,4,3.4,Average,120
Eggspectation - Jaypee Siddharth,New Delhi,"Jaypee Siddharth, Rajendra Place","European, Continental, North Indian",3000,Yes,No,4,3.5,Good,202
Ano Tai - Jaypee Vasant Continental,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",Chinese,2500,Yes,No,4,3.4,Average,64
Tapas - Jaypee Vasant Continental,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",North Indian,3000,Yes,No,4,3.2,Average,24
The Old Baker - Jaypee Vasant Continental,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",Bakery,500,No,No,2,3.3,Average,17
Eggspectation - Jaypee Vasant Continental,New Delhi,"Jaypee Vasant Continental, Vasant Vihar","European, Continental, North Indian",3000,Yes,No,4,3.6,Good,162
Paatra - Jaypee Vasant Continental,New Delhi,"Jaypee Vasant Continental, Vasant Vihar","North Indian, Mughlai",2500,Yes,No,4,3.5,Good,79
Ambarsaria by Gourmet Affaire's,New Delhi,"JMD Kohinoor Mall, Greater Kailash",Fast Food,400,No,Yes,1,3.1,Average,43
August Moon,New Delhi,"JMD Kohinoor Mall, Greater Kailash","Chinese, Thai",1250,Yes,Yes,3,2.8,Average,142
Moets Curry Leaf Express,New Delhi,"JMD Kohinoor Mall, Greater Kailash","North Indian, Mughlai",900,Yes,Yes,2,3.2,Average,23
Qureshi,New Delhi,JNU,"North Indian, Fast Food",350,No,No,1,3.0,Average,27
Shree Ram Sweet Centre,New Delhi,JNU,"Mithai, Street Food",150,No,No,1,2.7,Average,13
Teflas,New Delhi,JNU,"North Indian, Chinese",300,No,No,1,3.4,Average,53
The Viraj Food Zone,New Delhi,JNU,"North Indian, Chinese",500,No,No,2,3.2,Average,29
Secular House Canteen,New Delhi,JNU,"North Indian, Mughlai, Chinese",600,No,Yes,2,3.8,Good,414
Kerala Cafe,New Delhi,JNU,"North Indian, South Indian",150,No,No,1,2.3,Poor,44
Veer Jee Restaurant,New Delhi,Jor Bagh,"North Indian, Mughlai",450,No,No,1,3.1,Average,35
Oval Bar - JW Marriott New Delhi,New Delhi,JW Marriott New Delhi,Finger Food,4500,Yes,No,4,3.3,Average,15
Bakey Wish,New Delhi,Kailash Colony,"Bakery, Desserts",300,No,No,1,3.0,Average,6
Bikaner Namkeen Bhandar,New Delhi,Kailash Colony,"Mithai, Street Food",150,No,No,1,3.1,Average,9
Chhole Bhature Corner,New Delhi,Kailash Colony,North Indian,150,No,No,1,3.3,Average,21
Fresh n Frozen,New Delhi,Kailash Colony,"Raw Meats, Fast Food",200,No,No,1,3.1,Average,9
Pind Punjabi,New Delhi,Kailash Colony,North Indian,500,No,Yes,2,3.0,Average,4
Shaan e Punjab,New Delhi,Kailash Colony,"North Indian, Mughlai",600,No,No,2,3.1,Average,21
Cafe 27,New Delhi,Kailash Colony,"North Indian, Chinese, Italian",1550,Yes,No,3,3.6,Good,455
Pita Pit,New Delhi,Kailash Colony,"Healthy Food, Salad",600,No,Yes,2,3.8,Good,540
Maxims Pastry Shop,New Delhi,Kailash Colony,"Bakery, Desserts, Fast Food, Beverages",300,No,No,1,4.2,Very Good,729
Uncultured Cafe & Bar,New Delhi,Kailash Colony,"Continental, Chinese, Italian, Finger Food",1500,Yes,No,3,4.3,Very Good,90
2 Nice 2 Slice,New Delhi,Kalkaji,"Bakery, Desserts",1750,No,No,3,3.2,Average,17
Aggarwal Bikaneri Sweets,New Delhi,Kalkaji,"Mithai, Street Food",250,No,No,1,2.9,Average,11
Aggarwal Sweet Corner & Restaurant,New Delhi,Kalkaji,"North Indian, South Indian, Chinese, Mithai",300,No,No,1,2.6,Average,38
Aggarwal Sweets India,New Delhi,Kalkaji,"Mithai, Street Food",100,No,No,1,2.8,Average,9
Aggarwal's Sweets,New Delhi,Kalkaji,"Mithai, Street Food",150,No,No,1,2.9,Average,7
Anna Ka Dosa,New Delhi,Kalkaji,South Indian,200,No,Yes,1,3.4,Average,41
Big Chow Xpress,New Delhi,Kalkaji,"Chinese, North Indian",550,No,Yes,2,2.6,Average,58
Bikaner Sweets & Namkeen,New Delhi,Kalkaji,"Mithai, Street Food",200,No,No,1,2.9,Average,4
Cake Plaza,New Delhi,Kalkaji,"Bakery, Desserts, Fast Food",200,No,Yes,1,3.1,Average,28
Crispy Tokri,New Delhi,Kalkaji,Street Food,200,No,No,1,3.1,Average,100
De Royale Food's,New Delhi,Kalkaji,"North Indian, Chinese",550,No,No,2,3.2,Average,22
Fouji Da Vaishno Dhaba,New Delhi,Kalkaji,North Indian,400,No,No,1,2.9,Average,14
Fun Bytes,New Delhi,Kalkaji,Fast Food,250,No,Yes,1,2.5,Average,13
G's Patisserie,New Delhi,Kalkaji,"Bakery, Desserts",600,No,No,2,2.8,Average,8
Gopals 56,New Delhi,Kalkaji,"Ice Cream, Desserts",200,No,No,1,3.2,Average,8
Heaven's Kitchen,New Delhi,Kalkaji,"North Indian, Mughlai, Chinese",500,No,Yes,2,3.3,Average,85
Heavens Food Corner,New Delhi,Kalkaji,"North Indian, Mughlai, Chinese",500,No,No,2,2.8,Average,14
Just Kababs,New Delhi,Kalkaji,"Fast Food, North Indian",250,No,No,1,3.4,Average,25
Komal Kitchen,New Delhi,Kalkaji,North Indian,250,No,No,1,2.8,Average,7
Kwality Sweets & Restaurant,New Delhi,Kalkaji,South Indian,250,No,No,1,2.9,Average,10
Mehak Food Corner,New Delhi,Kalkaji,North Indian,350,No,No,1,3.2,Average,87
Mr. Sub,New Delhi,Kalkaji,Fast Food,400,No,Yes,1,3.2,Average,57
Muradabadi,New Delhi,Kalkaji,"Mughlai, Biryani",400,No,No,1,3.0,Average,5
New Radhe Radhe Snacks Corner,New Delhi,Kalkaji,North Indian,150,No,No,1,3.1,Average,9
Noor Restaurant,New Delhi,Kalkaji,"North Indian, Mughlai, Chinese",550,No,Yes,2,3.4,Average,20
Paul's Homemade,New Delhi,Kalkaji,"Bakery, Desserts",500,No,No,2,3.1,Average,11
Pinkom's Bar-Be-Que,New Delhi,Kalkaji,"North Indian, Mughlai",350,No,No,1,3.2,Average,12
Prince of China,New Delhi,Kalkaji,"Thai, Chinese, Seafood",800,No,Yes,2,3.1,Average,70
Punjabi Corner,New Delhi,Kalkaji,North Indian,250,No,Yes,1,3.3,Average,55
Punjabi Snacks,New Delhi,Kalkaji,"Street Food, North Indian, South Indian",200,No,No,1,2.9,Average,4
Quality Food Point,New Delhi,Kalkaji,"North Indian, Fast Food, Mughlai",450,No,No,1,3.0,Average,10
Radhe Shyam,New Delhi,Kalkaji,Street Food,150,No,No,1,2.8,Average,10
Raj South Indian Food,New Delhi,Kalkaji,"South Indian, Chinese",250,No,No,1,3.0,Average,8
Roll Club,New Delhi,Kalkaji,Fast Food,250,No,No,1,3.3,Average,91
Shameem Kabab Corner,New Delhi,Kalkaji,"North Indian, Mughlai",700,No,No,2,3.3,Average,67
Shiv Dhaba,New Delhi,Kalkaji,"North Indian, Chinese",550,No,No,2,3.1,Average,92
Silver Spoons,New Delhi,Kalkaji,"North Indian, Street Food",350,No,Yes,1,2.7,Average,6
Takkar Dhaba,New Delhi,Kalkaji,North Indian,450,No,Yes,1,2.6,Average,24
The Biryani Wallas,New Delhi,Kalkaji,Biryani,650,No,No,2,3.2,Average,26
The Tuck Shop,New Delhi,Kalkaji,Fast Food,700,No,No,2,3.3,Average,17
Uncle Xpress,New Delhi,Kalkaji,Chinese,400,No,Yes,1,3.4,Average,80
Vatika,New Delhi,Kalkaji,"North Indian, Mughlai",550,No,Yes,2,2.7,Average,52
Walk To Italy,New Delhi,Kalkaji,Fast Food,300,No,No,1,3.1,Average,11
Big Dragon,New Delhi,Kalkaji,"Chinese, Thai",800,Yes,No,2,3.6,Good,108
Cafe Filter,New Delhi,Kalkaji,"Fast Food, Italian, North Indian, Chinese",600,No,Yes,2,3.6,Good,22
Chowki,New Delhi,Kalkaji,North Indian,750,No,Yes,2,3.7,Good,89
Circle Cafe and Bar,New Delhi,Kalkaji,"Cafe, North Indian, Lebanese, Continental",800,No,No,2,3.5,Good,30
FreshMenu,New Delhi,Kalkaji,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,No,Yes,2,3.6,Good,36
Gopal's 56,New Delhi,Kalkaji,"Ice Cream, Desserts, North Indian, Street Food",200,No,No,1,3.8,Good,71
Just Vada Pav,New Delhi,Kalkaji,Street Food,150,No,No,1,3.6,Good,94
Khidmat,New Delhi,Kalkaji,"North Indian, Mughlai, Chinese",1300,Yes,Yes,3,3.6,Good,372
New Shere Punjab Dhaba,New Delhi,Kalkaji,North Indian,600,No,No,2,3.6,Good,91
Sant Sweets,New Delhi,Kalkaji,"Street Food, North Indian, Mithai",250,No,No,1,3.5,Good,60
Tikka- Way,New Delhi,Kalkaji,"North Indian, Chinese",850,No,Yes,2,3.5,Good,23
Punjabi Xpress,New Delhi,Kalkaji,"North Indian, Chinese",400,No,Yes,1,2.3,Poor,9
The Cake Factory,New Delhi,Kalkaji,"Bakery, Fast Food",400,No,Yes,1,2.3,Poor,19
Annapurna Restaurant,New Delhi,Kamla Nagar,"North Indian, Chinese",250,No,Yes,1,2.5,Average,56
Chawla's Chic Inn,New Delhi,Kamla Nagar,"North Indian, Chinese",650,No,No,2,3.3,Average,26
Chennai Hot Cafe,New Delhi,Kamla Nagar,South Indian,300,No,No,1,3.4,Average,75
Daawat E Mezbaan,New Delhi,Kamla Nagar,"Mughlai, North Indian",800,No,No,2,3.1,Average,77
Dessert in Desert,New Delhi,Kamla Nagar,"Cafe, Fast Food, Desserts",450,No,No,1,3.4,Average,38
Filmy Cafe & Bar,New Delhi,Kamla Nagar,"North Indian, Fast Food, Chinese, Continental",1200,Yes,No,3,2.9,Average,4
Firenze,New Delhi,Kamla Nagar,Cafe,500,No,No,2,2.8,Average,25
Gullu's,New Delhi,Kamla Nagar,"North Indian, Mughlai",550,No,No,2,3.1,Average,69
Manwhar,New Delhi,Kamla Nagar,"South Indian, North Indian, Chinese",650,No,No,2,3.2,Average,69
Mini Shop,New Delhi,Kamla Nagar,"Fast Food, Beverages",150,No,No,1,3.3,Average,49
Nine 75 Lounge & Bar,New Delhi,Kamla Nagar,"Chinese, North Indian, Italian, Continental, Fast Food",800,Yes,No,2,3.2,Average,145
Pradhan Ji Multi Cuisine Restaurant,New Delhi,Kamla Nagar,"North Indian, Chinese, Continental",650,No,Yes,2,3.3,Average,41
Shiva Coffee & South Indian Fast Food,New Delhi,Kamla Nagar,South Indian,300,No,No,1,2.7,Average,41
The Ice Cafe,New Delhi,Kamla Nagar,"Cafe, Chinese, Continental, Italian, Desserts, Beverages",400,No,No,1,3.2,Average,28
Tikka Junction,New Delhi,Kamla Nagar,"North Indian, Chinese",750,No,No,2,3.4,Average,21
Trending Eats,New Delhi,Kamla Nagar,"Italian, Fast Food",800,No,No,2,3.4,Average,21
Vikrant Cafe,New Delhi,Kamla Nagar,"South Indian, North Indian",550,No,Yes,2,3.3,Average,145
Vishal Restaurant,New Delhi,Kamla Nagar,North Indian,600,No,No,2,3.1,Average,24
Badri Prasad Ramesh Kumar Caterers,New Delhi,Kamla Nagar,North Indian,200,No,No,1,3.5,Good,12
Bistro,New Delhi,Kamla Nagar,Beverages,150,No,No,1,3.9,Good,55
Chaudhary Sweets Corner,New Delhi,Kamla Nagar,"Desserts, Beverages",300,No,No,1,3.8,Good,36
Chowringhee,New Delhi,Kamla Nagar,"Fast Food, Beverages",250,No,Yes,1,3.6,Good,108
Cones & Curries,New Delhi,Kamla Nagar,Fast Food,250,No,Yes,1,3.7,Good,151
Darvesh Corner,New Delhi,Kamla Nagar,North Indian,550,No,No,2,3.6,Good,91
Frozen Pan,New Delhi,Kamla Nagar,"Ice Cream, Fast Food, Beverages",250,No,No,1,3.9,Good,72
Manohar Bikkaneri,New Delhi,Kamla Nagar,"Mithai, Chinese, Street Food",200,No,No,1,3.8,Good,83
Nukkadwala,New Delhi,Kamla Nagar,"Fast Food, Street Food",300,No,Yes,1,3.7,Good,58
Om Di Hatti,New Delhi,Kamla Nagar,"Street Food, North Indian",100,No,No,1,3.7,Good,116
Orange Tree Cafe,New Delhi,Kamla Nagar,"Continental, Chinese, North Indian",600,Yes,No,2,3.5,Good,21
Rigo Noodles,New Delhi,Kamla Nagar,"Chinese, Thai",500,No,No,2,3.5,Good,133
Sethi's The Cake Shop,New Delhi,Kamla Nagar,"Bakery, Fast Food",200,No,No,1,3.9,Good,150
Sharma Kachoriwala,New Delhi,Kamla Nagar,Street Food,50,No,No,1,3.7,Good,131
Shawarma Wala,New Delhi,Kamla Nagar,Fast Food,300,No,No,1,3.7,Good,234
Shri Bankey Bihari Brajwasi Rasgulle Wala,New Delhi,Kamla Nagar,"Mithai, Street Food",150,No,No,1,3.5,Good,36
Sid's Kitchen,New Delhi,Kamla Nagar,"North Indian, Chinese",500,No,Yes,2,3.8,Good,115
Sweet Life By Henna,New Delhi,Kamla Nagar,"Bakery, Desserts",400,No,No,1,3.5,Good,47
The Midnight Heroes,New Delhi,Kamla Nagar,"North Indian, Biryani, Chinese, Fast Food",950,No,Yes,2,3.8,Good,41
Urban Hub,New Delhi,Kamla Nagar,"Chinese, North Indian, Italian, Fast Food",1900,Yes,No,3,3.6,Good,346
Vaishno Chat Bhandar,New Delhi,Kamla Nagar,Street Food,150,No,No,1,3.9,Good,223
Ved Dhaba,New Delhi,Kamla Nagar,North Indian,300,No,No,1,3.5,Good,97
Wokin Street,New Delhi,Kamla Nagar,Chinese,300,No,Yes,1,3.6,Good,25
Yadav Namkeens & Bakers,New Delhi,Kamla Nagar,Bakery,100,No,Yes,1,3.5,Good,15
Chill'm Bar & Cafe,New Delhi,Kamla Nagar,"North Indian, Italian, Chinese, Fast Food",600,Yes,Yes,2,4.2,Very Good,300
Coffee & Cream,New Delhi,Kamla Nagar,"Beverages, Fast Food",400,No,No,1,4.0,Very Good,108
Chawla Di Hutti,New Delhi,Kapashera,North Indian,700,No,No,2,3.1,Average,59
Sher 'A' Punjab Bhojnalya,New Delhi,Kapashera,North Indian,600,No,Yes,2,3.3,Average,36
Guru Rakha,New Delhi,Karampura,North Indian,600,No,No,2,3.1,Average,62
Shudh Vaishno Hotel,New Delhi,Karampura,North Indian,450,No,Yes,1,3.4,Average,44
Kumar Samose Wala,New Delhi,Karampura,Street Food,100,No,No,1,4.1,Very Good,187
Amigo's Deli,New Delhi,Karkardooma,"Mughlai, Fast Food",350,No,No,1,3.2,Average,11
Ananda Food Express,New Delhi,Karkardooma,"North Indian, Chinese",450,No,Yes,1,3.2,Average,27
Khana Vaana,New Delhi,Karkardooma,"North Indian, South Indian, Chinese",300,No,No,1,3.4,Average,32
Momoholic,New Delhi,Karkardooma,"Chinese, Fast Food, Ice Cream",200,No,No,1,3.3,Average,11
Nazeer Foods,New Delhi,Karkardooma,"North Indian, Mughlai, Chinese",550,No,No,2,3.3,Average,87
Rumours,New Delhi,Karkardooma,"North Indian, Chinese, Italian",1000,Yes,No,3,3.4,Average,232
Spice Grill,New Delhi,Karkardooma,"North Indian, Mughlai, Chinese, Continental",1300,No,Yes,3,3.2,Average,177
Utopia,New Delhi,Karkardooma,"North Indian, Mediterranean, Continental",1500,Yes,No,3,3.2,Average,286
Aroma Rest O Bar,New Delhi,Karkardooma,"North Indian, Mughlai, Chinese",800,Yes,Yes,2,3.6,Good,306
Cafe Shloka,New Delhi,Karkardooma,"Cafe, Italian, Chinese, North Indian",1000,No,Yes,3,3.5,Good,63
Desi Villa,New Delhi,Karkardooma,"South Indian, North Indian, Chinese",800,Yes,No,2,3.7,Good,28
Palomino,New Delhi,Karkardooma,"North Indian, Mughlai, Continental, Chinese",1600,Yes,Yes,3,3.7,Good,213
Raasa The Luxuriate Fine Dine,New Delhi,Karkardooma,"North Indian, Mughlai, Chinese",1150,Yes,Yes,3,3.7,Good,160
Shiv Tikki Wala,New Delhi,Karkardooma,"Street Food, North Indian",250,No,No,1,3.8,Good,300
The Wrap Factory,New Delhi,Karkardooma,Fast Food,250,No,No,1,3.6,Good,109
Classic,New Delhi,Karkardooma,"Desserts, Fast Food, Ice Cream",250,No,No,1,4.0,Very Good,95
Goosebumps,New Delhi,Karkardooma,"Ice Cream, Desserts",300,No,Yes,1,4.0,Very Good,292
Amma Mess,New Delhi,Karol Bagh,"South Indian, North Indian",250,No,No,1,3.4,Average,68
Amritsari Chaap Corner,New Delhi,Karol Bagh,North Indian,200,No,No,1,2.9,Average,92
Aroma Spice,New Delhi,Karol Bagh,"North Indian, Chinese",800,Yes,No,2,3.4,Average,51
Boheme Cafe Bar,New Delhi,Karol Bagh,"North Indian, Chinese, Continental, Italian",1100,Yes,Yes,3,3.2,Average,142
Chopsuey,New Delhi,Karol Bagh,"Chinese, North Indian",600,No,Yes,2,3.2,Average,71
Crossroad Bar and Restaurant,New Delhi,Karol Bagh,"North Indian, Chinese, Mughlai",700,No,No,2,3.0,Average,39
Gulnar Bar Be Que,New Delhi,Karol Bagh,"North Indian, Chinese",700,No,Yes,2,3.1,Average,73
Kwality Bengali Sweets,New Delhi,Karol Bagh,"Desserts, Mithai",200,No,No,1,2.9,Average,10
Little Chef,New Delhi,Karol Bagh,"North Indian, Mughlai, Chinese, Fast Food",500,No,Yes,2,2.7,Average,32
M J Dosa Corner,New Delhi,Karol Bagh,South Indian,150,No,No,1,2.9,Average,36
Moolchand's,New Delhi,Karol Bagh,"North Indian, South Indian, Chinese, Fast Food",450,No,No,1,3.3,Average,36
New Angaar Hyderabadi,New Delhi,Karol Bagh,Hyderabadi,750,Yes,Yes,2,3.1,Average,134
New Frontier Hotel,New Delhi,Karol Bagh,North Indian,350,No,No,1,3.3,Average,55
Oberoi Biryani,New Delhi,Karol Bagh,"North Indian, Mughlai",600,No,No,2,2.9,Average,90
Om Ji Om,New Delhi,Karol Bagh,North Indian,500,No,No,2,3.2,Average,60
Om Saravana Bhavan,New Delhi,Karol Bagh,South Indian,400,No,No,1,2.7,Average,47
Pindi Meat,New Delhi,Karol Bagh,North Indian,300,No,No,1,3.4,Average,43
Punjab Sweet Corner,New Delhi,Karol Bagh,"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",350,No,No,1,3.3,Average,236
R1 Lounge,New Delhi,Karol Bagh,"North Indian, Mughlai, Chinese",1100,Yes,Yes,3,2.6,Average,31
R1 Take Away,New Delhi,Karol Bagh,"North Indian, Mughlai, Chinese",700,No,Yes,2,2.5,Average,38
Raffles,New Delhi,Karol Bagh,"Fast Food, North Indian, Chinese",800,Yes,No,2,3.1,Average,123
Raj Sweets,New Delhi,Karol Bagh,Mithai,150,No,No,1,2.8,Average,9
Ramas Cafe,New Delhi,Karol Bagh,"South Indian, Chinese, North Indian",350,No,No,1,3.3,Average,70
Sandoz,New Delhi,Karol Bagh,"North Indian, Chinese",550,No,No,2,3.4,Average,114
Shudh,New Delhi,Karol Bagh,"North Indian, Chinese, South Indian",600,No,Yes,2,3.1,Average,247
Spicy by Nature,New Delhi,Karol Bagh,"North Indian, Mughlai, Chinese",900,Yes,No,2,2.7,Average,84
Spicy N Karara,New Delhi,Karol Bagh,"North Indian, Chinese, Fast Food",650,No,Yes,2,3.3,Average,93
Spooky Sky,New Delhi,Karol Bagh,"Italian, Chinese, North Indian",650,No,Yes,2,3.4,Average,44
Sri Krishna Udupi,New Delhi,Karol Bagh,South Indian,400,No,No,1,3.0,Average,27
Tempting Restaurant,New Delhi,Karol Bagh,"Chinese, Mughlai, North Indian",750,Yes,Yes,2,2.7,Average,68
The Smokin' Grill by The Flashback,New Delhi,Karol Bagh,Fast Food,400,No,Yes,1,3.3,Average,23
Three Tuns,New Delhi,Karol Bagh,"European, Italian, Thai, Chinese, North Indian",1400,Yes,No,3,3.2,Average,30
